Occurrence ID,Scientific name,Common name,Date,Date day,Date month,Date year,OSGR,Latitude,Longitude,Coordinate uncertainty (m),Individual count,Life stage,Country,OSG 10m,OSG 100m,OSG 1km,OSG 10km,OSG 100km
13266,Phoca vitulina,Harbour Seal,2019-11-26,26,11,2019,NM6119270150,56.76156235,-5.908883571,100.0,1.0,Adult,Scotland,NM61197015,NM611701,NM6170,NM67,NM
13265,Phoca vitulina,Harbour Seal,2019-11-25,25,11,2019,NM6029971514,56.77333069,-5.924733638,0.0,1.0,Adult,Scotland,NM60297151,NM602715,NM6071,NM67,NM
13269,Phoca vitulina,Harbour Seal,2019-11-26,26,11,2019,NM6088171187,56.77070236,-5.914933204,200.0,1.0,Adult,Scotland,NM60887118,NM608711,NM6071,NM67,NM
13259,Phoca vitulina,Harbour Seal,2019-11-25,25,11,2019,NM3465763343,56.68624496,-6.334666728,200.0,1.0,Adult,Scotland,NM34656334,NM346633,NM3463,NM36,NM
13263,Phoca vitulina,Harbour Seal,2019-11-25,25,11,2019,NM5975172972,56.78611755,-5.935050487,60.0,1.0,Adult,Scotland,NM59757297,NM597729,NM5972,NM57,NM
14173,Phoca vitulina,Harbour Seal,2021-11-09,9,11,2021,NM7967733513,56.44218,-5.575934,80.0,1.0,Adult,Scotland,NM79673351,NM796335,NM7933,NM73,NM
12341,Halichoerus grypus,Grey Seal,2019-02-24,24,2,2019,NM2723318657,56.28171539,-6.408750534,30.0,1.0,Adult,Scotland,NM27231865,NM272186,NM2718,NM21,NM
12343,Halichoerus grypus,Grey Seal,2019-02-25,25,2,2019,NM2792836913,56.44564438,-6.416466236,200.0,1.0,Adult,Scotland,NM27923691,NM279369,NM2736,NM23,NM
13288,Phocoena phocoena,Common Porpoise,2020-02-27,27,2,2020,NM6633460758,56.67998,-5.816416,150.0,1.0,Adult,Scotland,NM66336075,NM663607,NM6660,NM66,NM
12326,Phoca vitulina,Harbour Seal,2019-02-19,19,2,2019,NM5180556270,56.63228226,-6.048650264,110.0,1.0,Adult,Scotland,NM51805627,NM518562,NM5156,NM55,NM
13290,Phocoena phocoena,Common Porpoise,2020-02-27,27,2,2020,NM6352759757,56.6696,-5.861216,120.0,1.0,Adult,Scotland,NM63525975,NM635597,NM6359,NM65,NM
13284,Lutra lutra,Eurasian Otter,2020-02-25,25,2,2020,NR7863294292,56.09,-5.56,707.1,1.0,Adult,Scotland,NR78639429,NR786942,NR7894,NR79,NR
12329,Phocoena phocoena,Common Porpoise,2019-02-19,19,2,2019,NM4828558933,56.65426254,-6.108482837,300.0,1.0,Adult,Scotland,NM48285893,NM482589,NM4858,NM45,NM
12345,Phoca vitulina,Harbour Seal,2019-02-25,25,2,2019,NM3081552486,56.58679962,-6.385883808,150.0,1.0,Adult,Scotland,NM30815248,NM308524,NM3052,NM35,NM
12336,Phocoena phocoena,Common Porpoise,2019-02-23,23,2,2019,NM6059759726,56.66783142,-5.908883571,250.0,1.0,Adult,Scotland,NM60595972,NM605597,NM6059,NM65,NM
12327,Halichoerus grypus,Grey Seal,2019-02-19,19,2,2019,NM5138256736,56.63623047,-6.055983543,200.0,1.0,Adult,Scotland,NM51385673,NM513567,NM5156,NM55,NM
12346,Halichoerus grypus,Grey Seal,2019-02-25,25,2,2019,NM3282355071,56.61109924,-6.355949878,150.0,1.0,Adult,Scotland,NM32825507,NM328550,NM3255,NM35,NM
12339,Phoca vitulina,Harbour Seal,2019-02-24,24,2,2019,NM7537730764,56.41550446,-5.643183231,70.0,1.0,Adult,Scotland,NM75373076,NM753307,NM7530,NM73,NM
13286,Phocoena phocoena,Common Porpoise,2020-02-26,26,2,2020,NM8523647686,56.57183,-5.497633,50.0,1.0,Adult,Scotland,NM85234768,NM852476,NM8547,NM84,NM
12325,Phoca vitulina,Harbour Seal,2019-02-19,19,2,2019,NM5184056268,56.63228226,-6.048083305,150.0,1.0,Adult,Scotland,NM51845626,NM518562,NM5156,NM55,NM
13289,Phocoena phocoena,Common Porpoise,2020-02-27,27,2,2020,NM6370459773,56.66983,-5.85835,200.0,1.0,Adult,Scotland,NM63705977,NM637597,NM6359,NM65,NM
12330,Phocoena phocoena,Common Porpoise,2019-02-19,19,2,2019,NM4787559289,56.65723419,-6.115499973,250.0,1.0,Adult,Scotland,NM47875928,NM478592,NM4759,NM45,NM
478,Phocoena phocoena,Common Porpoise,2004-02-23,23,2,2004,NM4722160301,56.66595,-6.127133,70.1,1.0,Adult,Scotland,NM47226030,NM472603,NM4760,NM46,NM
13287,Phocoena phocoena,Common Porpoise,2020-02-27,27,2,2020,NM6746761282,56.68525,-5.79845,350.0,1.0,Adult,Scotland,NM67466128,NM674612,NM6761,NM66,NM
12331,Phocoena phocoena,Common Porpoise,2019-02-19,19,2,2019,NM5550759056,56.65919495,-5.991099834,200.0,1.0,Adult,Scotland,NM55505905,NM555590,NM5559,NM55,NM
12342,Phoca vitulina,Harbour Seal,2019-02-25,25,2,2019,NM3136331959,56.40323257,-6.355816841,200.0,1.0,Adult,Scotland,NM31363195,NM313319,NM3131,NM33,NM
13291,Phoca vitulina,Harbour Seal,2020-02-28,28,2,2020,NM4253161850,56.67727,-6.204984,60.0,1.0,Adult,Scotland,NM42536185,NM425618,NM4261,NM46,NM
12334,Phoca vitulina,Harbour Seal,2019-02-19,19,2,2019,NM5997459880,56.66889572,-5.919167041,350.0,1.0,Adult,Scotland,NM59975988,NM599598,NM5959,NM55,NM
480,Phocoena phocoena,Common Porpoise,2004-02-23,23,2,2004,NM3883570106,56.74919,-6.273533,70.1,1.0,Adult,Scotland,NM38837010,NM388701,NM3870,NM37,NM
12332,Phoca vitulina,Harbour Seal,2019-02-19,19,2,2019,NM5672359132,56.66051483,-5.971383571,180.0,1.0,Adult,Scotland,NM56725913,NM567591,NM5659,NM55,NM
12333,Phoca vitulina,Harbour Seal,2019-02-19,19,2,2019,NM6204060122,56.67211914,-5.885750293,220.0,1.0,Adult,Scotland,NM62046012,NM620601,NM6260,NM66,NM
12340,Phoca vitulina,Harbour Seal,2019-02-24,24,2,2019,NM2899717199,56.26966858,-6.37885046,200.0,1.0,Adult,Scotland,NM28991719,NM289171,NM2817,NM21,NM
479,Phocoena phocoena,Common Porpoise,2004-02-23,23,2,2004,NM4552561064,56.67187,-6.155483,70.1,1.0,Adult,Scotland,NM45526106,NM455610,NM4561,NM46,NM
12335,Phocoena phocoena,Common Porpoise,2019-02-23,23,2,2019,NM6357159952,56.67137146,-5.860682964,30.0,1.0,Adult,Scotland,NM63575995,NM635599,NM6359,NM65,NM
12328,Phoca vitulina,Harbour Seal,2019-02-19,19,2,2019,NM5118656875,56.63737106,-6.059299945,200.0,1.0,Adult,Scotland,NM51185687,NM511568,NM5156,NM55,NM
13294,Phoca vitulina,Harbour Seal,2020-03-14,14,3,2020,NM6602459964,56.67271,-5.82075,80.0,1.0,Adult,Scotland,NM66025996,NM660599,NM6659,NM65,NM
13292,Phoca vitulina,Harbour Seal,2020-03-14,14,3,2020,NM3644943366,56.50829,-6.28515,40.0,1.0,Adult,Scotland,NM36444336,NM364433,NM3643,NM34,NM
481,Phoca vitulina,Harbour Seal,2004-03-02,2,3,2004,NM3236953447,56.5963,-6.36165,70.1,1.0,Adult,Scotland,NM32365344,NM323534,NM3253,NM35,NM
489,Tursiops truncatus,Bottle-nosed Dolphin,2004-03-04,4,3,2004,NM0529445633,56.51012,-6.7922,70.1,1.0,Adult,Scotland,NM05294563,NM052456,NM0545,NM04,NM
486,Phocoena phocoena,Common Porpoise,2004-03-04,4,3,2004,NM4874459038,56.65545,-6.101117,70.1,2.0,Adult,Scotland,NM48745903,NM487590,NM4859,NM45,NM
12350,Phoca vitulina,Harbour Seal,2019-03-19,19,3,2019,NM3228653795,56.59936523,-6.363350391,100.0,1.0,Adult,Scotland,NM32285379,NM322537,NM3253,NM35,NM
12357,Delphinus delphis,Common Dolphin,2019-03-21,21,3,2019,NM8146243333,56.53106308,-5.555283546,20.0,1.0,Adult,Scotland,NM81464333,NM814433,NM8143,NM84,NM
12349,Halichoerus grypus,Grey Seal,2019-03-19,19,3,2019,NM4269059032,56.65211487,-6.199583053,200.0,1.0,Adult,Scotland,NM42695903,NM426590,NM4259,NM45,NM
488,Phoca vitulina,Harbour Seal,2004-03-04,4,3,2004,NM2095452897,56.58472,-6.546366,70.1,1.0,Adult,Scotland,NM20955289,NM209528,NM2052,NM25,NM
12351,Halichoerus grypus,Grey Seal,2019-03-19,19,3,2019,NM3154852104,56.58379745,-6.373582839,150.0,1.0,Adult,Scotland,NM31545210,NM315521,NM3152,NM35,NM
482,Phoca vitulina,Harbour Seal,2004-03-03,3,3,2004,NM4600960987,56.67144,-6.147533,70.1,1.0,Adult,Scotland,NM46006098,NM460609,NM4660,NM46,NM
12356,Phocoena phocoena,Common Porpoise,2019-03-21,21,3,2019,NM8308544934,56.54616547,-5.530283451,50.0,1.0,Adult,Scotland,NM83084493,NM830449,NM8344,NM84,NM
13295,Phocoena phocoena,Common Porpoise,2020-03-14,14,3,2020,NM7008362828,56.7004,-5.757216,100.0,1.0,Adult,Scotland,NM70086282,NM700628,NM7062,NM76,NM
487,Phocoena phocoena,Common Porpoise,2004-03-04,4,3,2004,NM4728759671,56.66034,-6.125433,70.1,1.0,Adult,Scotland,NM47285967,NM472596,NM4759,NM45,NM
13296,Phocoena phocoena,Common Porpoise,2020-03-15,15,3,2020,NM5997059750,56.66773,-5.919116,100.0,1.0,Adult,Scotland,NM59975975,NM599597,NM5959,NM55,NM
485,Phocoena phocoena,Common Porpoise,2004-03-04,4,3,2004,NM4927658707,56.65277,-6.092134,70.1,1.0,Adult,Scotland,NM49275870,NM492587,NM4958,NM45,NM
